Horizon,Input_Size,Train_Steps,Series_ID,Model,MAE,MSE
96,768,300,Combined,TimesNet,332.4634246826172,168354.78276039907
96,768,300,BE,NHITS,400.5848795572917,306071.98087916273
96,768,300,BE,NBEATS,437.47561899820965,352012.3117655429
96,768,300,BE,TimesNet,347.1886901855469,191927.79031568518
96,768,300,PT,NHITS,236.8839899698893,102699.8232032818
96,768,300,PT,NBEATS,265.1705830891927,125707.89586865157
96,768,300,PT,TimesNet,320.99710845947266,155766.61788385734
96,768,300,RO,NHITS,341.2381006876628,176243.2498576877
96,768,300,RO,NBEATS,344.53733317057294,189253.77112191418
96,768,300,RO,TimesNet,329.20447540283203,157369.94008165473
